month,total_sales
NULL,1389173.66
2015-01,19546.16
2015-02,11678.99
2015-03,6716.04
2015-04,12455.48
2015-05,15165.05
2015-06,11884.17
2015-07,10075.74
2015-08,26797.76
2015-09,17158.93
2015-10,10112.64
2015-11,18349.76
2015-12,17045.84
2016-01,17701.69
2016-02,13018.32
2016-03,12207.41
2016-04,11963.7
2016-05,10483.48
2016-06,13026.67
2016-07,10706.72
2016-08,22782.58
2016-09,16484.9
2016-10,12293.04
2016-11,12139.04
2016-12,9761.33
2017-01,26342.54
2017-02,42967.92
2017-03,25982.29
2017-04,19472.16
2017-05,22649.39
2017-06,14050.14
2017-07,16501.01
2017-08,24156.32
2017-09,9789.66
2017-10,22599.78
2017-11,20378.24
2017-12,21365.15
2018-01,27367.59
2018-02,36285.94
2018-03,26882.95
2018-04,21203.61
2018-05,15979.16
2018-06,12138.16
2018-07,25110.48
2018-08,26823.69
2018-09,23148.87
2018-10,17558.32
2018-11,17407.27
2018-12,16647.04